.,n,Word,Freq,Rank
quill,6,quill,6,293
realm,6,realm,6,294
seen,6,seen,6,295
ship,6,ship,6,296
sir,6,sir,6,297
soul,6,soul,6,298
sure,6,sure,6,299
through,6,through,6,300
today,6,today,6,301
together,6,together,6,302
uh,6,uh,6,303
wasn,6,wasn,6,304
went,6,went,6,305
whatever,6,whatever,6,306
whole,6,whole,6,307
world,6,world,6,308
0,5,0,5,309
000,5,000,5,310
2,5,2,5,311
already,5,already,5,312
america,5,america,5,313
anyone,5,anyone,5,314
avengers,5,avengers,5,315
become,5,become,5,316
believe,5,believe,5,317
breathe,5,breathe,5,318
bunch,5,bunch,5,319
call,5,call,5,320
captain,5,captain,5,321
care,5,care,5,322
clint,5,clint,5,323
different,5,different,5,324
easy,5,easy,5,325
excuse,5,excuse,5,326
face,5,face,5,327
fight,5,fight,5,328
girl,5,girl,5,329
green,5,green,5,330
happy,5,happy,5,331
hi,5,hi,5,332
keep,5,keep,5,333
looks,5,looks,5,334
lose,5,lose,5,335
luck,5,luck,5,336
lunch,5,lunch,5,337
make,5,make,5,338
means,5,means,5,339
morag,5,morag,5,340
pal,5,pal,5,341
person,5,person,5,342
pretty,5,pretty,5,343
probably,5,probably,5,344
problem,5,problem,5,345
promise,5,promise,5,346
same,5,same,5,347
saying,5,saying,5,348
shouldn,5,shouldn,5,349
sit,5,sit,5,350
stairs,5,stairs,5,351
story,5,story,5,352
takes,5,takes,5,353
than,5,than,5,354
thanks,5,thanks,5,355
uhh,5,uhh,5,356
win,5,win,5,357
worked,5,worked,5,358
yourself,5,yourself,5,359
7,4,7,4,360
aether,4,aether,4,361
ant,4,ant,4,362
asgard,4,asgard,4,363
ass,4,ass,4,364
boys,4,boys,4,365
change,4,change,4,366
charge,4,charge,4,367
couldn,4,couldn,4,368
day,4,day,4,369
days,4,days,4,370
death,4,death,4,371
dr,4,dr,4,372
drop,4,drop,4,373
earth,4,earth,4,374
end,4,end,4,375
eye,4,eye,4,376
fact,4,fact,4,377
few,4,few,4,378
fingers,4,fingers,4,379
friends,4,friends,4,380
fun,4,fun,4,381
game,4,game,4,382
gave,4,gave,4,383
goodbye,4,goodbye,4,384
happened,4,happened,4,385
hear,4,hear,4,386
history,4,history,4,387
hit,4,hit,4,388
honestly,4,honestly,4,389
howard,4,howard,4,390
huh,4,huh,4,391
impossible,4,impossible,4,392
its,4,its,4,393
jane,4,jane,4,394
lang,4,lang,4,395
lila,4,lila,4,396
listen,4,listen,4,397
making,4,making,4,398
many,4,many,4,399
meant,4,meant,4,400
meet,4,meet,4,401
met,4,met,4,402
name,4,name,4,403
natasha,4,natasha,4,404
once,4,once,4,405
pep,4,pep,4,406
place,4,place,4,407
pym,4,pym,4,408
question,4,question,4,409
ready,4,ready,4,410
repeating,4,repeating,4,411
room,4,room,4,412
run,4,run,4,413
sam,4,sam,4,414
search,4,search,4,415
sire,4,sire,4,416
someone,4,someone,4,417
somewhere,4,somewhere,4,418
sounds,4,sounds,4,419
start,4,start,4,420
stay,4,stay,4,421
suit,4,suit,4,422
team,4,team,4,423
told,4,told,4,424
umm,4,umm,4,425
under,4,under,4,426
use,4,use,4,427
wants,4,wants,4,428
weeks,4,weeks,4,429
working,4,working,4,430
works,4,works,4,431
worry,4,worry,4,432
wrong,4,wrong,4,433
almost,3,almost,3,434
alone,3,alone,3,435
answer,3,answer,3,436
anybody,3,anybody,3,437
anymore,3,anymore,3,438
awesome,3,awesome,3,439
babe,3,babe,3,440
barton,3,barton,3,441
battle,3,battle,3,442
beard,3,beard,3,443
bed,3,bed,3,444
beer,3,beer,3,445
bet,3,bet,3,446
bleecker,3,bleecker,3,447
born,3,born,3,448
boy,3,boy,3,449
canopy,3,canopy,3,450
cassie,3,cassie,3,451
cheeseburgers,3,cheeseburgers,3,452
comes,3,comes,3,453
coordinates,3,coordinates,3,454
copy,3,copy,3,455
cosmic,3,cosmic,3,456
damn,3,damn,3,457
die,3,die,3,458
dinner,3,dinner,3,459
door,3,door,3,460
duplicate,3,duplicate,3,461
exact,3,exact,3,462
eyes,3,eyes,3,463
far,3,far,3,464
free,3,free,3,465
friday,3,friday,3,466
front,3,front,3,467
garage,3,garage,3,468
garbage,3,garbage,3,469
getting,3,getting,3,470
goes,3,goes,3,471
grab,3,grab,3,472
grateful,3,grateful,3,473
half,3,half,3,474
hand,3,hand,3,475
hands,3,hands,3,476
happen,3,happen,3,477
happens,3,happens,3,478
haven,3,haven,3,479
hello,3,hello,3,480
hide,3,hide,3,481
hmm,3,hmm,3,482
hold,3,hold,3,483
honey,3,honey,3,484
hours,3,hours,3,485
hurry,3,hurry,3,486
important,3,important,3,487
inevitable,3,inevitable,3,488
inside,3,inside,3,489
kidding,3,kidding,3,490
least,3,least,3,491
liar,3,liar,3,492
low,3,low,3,493
made,3,made,3,494
makes,3,makes,3,495
may,3,may,3,496
mayday,3,mayday,3,497
mayo,3,mayo,3,498
memory,3,memory,3,499
mild,3,mild,3,500
missed,3,missed,3,501
moment,3,moment,3,502
morgan,3,morgan,3,503
most,3,most,3,504
murdered,3,murdered,3,505
nat,3,nat,3,506
necessary,3,necessary,3,507
needed,3,needed,3,508
night,3,night,3,509
none,3,none,3,510
ones,3,ones,3,511
options,3,options,3,512
overs,3,overs,3,513
particles,3,particles,3,514
peter,3,peter,3,515
pick,3,pick,3,516
